seatno	assignment	score	grade	comment
092	W07	166	66	  SQL 就是一個拿來查詢資料庫的語言。因為他只是一個語言，所以你沒辦法說「我的程式是用 SQL 當資料庫」。SQL 並不是一個資料庫系統，MySQL 才是。  NoSQL，這個名詞只是為了強調他跟上面我們講的那些關聯式資料庫系統不太一樣，所以用了 NoSQL 這個詞。其中最大的差別大概就是 NoSQL 沒有 schema 這種東西，所以你不必事先知道你要存哪些資料。這樣的好處當然就是比較彈性，可是相對的你在查詢資料的時候速度也會比較慢一點。而且這些 NoSQL 系統，儲存資料的格式通常都是 JSON。NoSQL 最適合的一點是搜集數據。例如說現在很多手機 App 其實會偷偷搜集你資料傳回去，做一些數據分析之類的。  SQL 跟 NoSQL 並不是互斥的概念，你可以在你的系統裡面用 SQL 類的資料庫系統儲存文章、評論，同時也用 NoSQL 類的資料庫來搜集使用者資訊。  
093	W07	196	81	  今天李御安講師先分享了關於工作的一些心路歷程，尤其強調了「態度」可以決定一切，從每個禮拜過來分享的的講師可以發現，他們不只有很強的實力，在想法上也都與大家不同，很值得我們學習。  講師先從現今資料庫所遇到的問題講起，像是效能低落及維運不易，而以前需要花費1.2個月的時間才能建構出一個完整的資料庫，現在透過雲端資料庫只需要3-5分鐘就能完成部署，也不再需要硬體成本，而全球的部署也更加靈活，還能夠智能化的維運。  除此之外，講師也介紹了SQL與NoSQL的差別，SQL所強調的一致性讓他必須使每次的搜尋結果都相同，而NoSQL不管中間過程的順序如何，只需要結果一樣即可，不管中間過程的順序如何，就像講師說的，沒有哪個比較好，只有哪個比較適合。  
094	W07	161	64	  今天的課程內容主要是資料庫，剛好去年才上過資料庫的課程，基本概念都還記得。今天談到的實作部分就是使用 Azure 入口網站，在 Azure SQL Database 中建立單一資料庫，而Azure關於資料庫其中一個重要服務就是Azure Cosmos DB，它讓開發人員更容易建置全球化的分散式程式，也可根據需求在任何時候及任何Azure服務的區域擴大儲存能力；也支援SQL dialect、MongoDB API、Gremlin API與Azure Table Storage API等各式API；且提供了全方位的服務水準協議（SLA）。所謂的SLA指的是服務提供者與使用客戶之間，應就服務品質、水準以及性能等方面達成協議或訂定契約。這幾堂課出現越來越多相關的陌生專有名詞，有時候需要自己在多查一些資料才能更佳的了解整堂課的內容。  
095	W07	164	65	  本週的講座主題是Azure Data Service-SQL & NoSQL。講師首先簡單說明客戶現今遇到的挑戰，分別是更多硬體成本、效能低落、快速全球部屬和維運不易，以及使用Azure雲端資料庫的好處。再來是關聯式資料庫（DBMS）和非關聯式資料庫(NoSQL)的介紹和比較開發者何時該用NoSQL或SQL，DBMS是建立在關聯模型基礎上的資料庫，藉助於集合代數等數學概念和方法來處理資料庫中的資料。現實世界中的各種實體以及實體之間的各種聯絡均用關聯模型來表示。NoSQL會使用針對所要儲存之資料類型的特定需求所最佳化的儲存體模型。 比方說，資料可能會儲存為簡單的索引鍵/值組、JSON 文件，或包含邊緣和頂點的圖表。  
096	W07	223	89	  這個禮拜請到的講師，主要介紹的是資料庫，首先他介紹了關聯式資料庫跟非關聯式資料庫的差異，關聯式資料庫是比較嚴謹的設定，資料庫需要先設定好所有的屬性，但如果之後要更改資料庫的屬性，就需要把資料庫先暫停，對一些較重要的資料，可能會造成問題，也會無法進行登入，網站也會暫時無法使用，，但是非關聯式資料庫主要則是用JSON交換資料，這樣就能解決關聯式資料庫的問題，兩者也沒有好壞之分，主要還是看想要儲存的資料庫是哪一種類型的，才能決定是要使用哪一種資料庫。  
097	W07	229	90	  今天的講師是李御安老師，老師在課程的一開始先分享了自己的社會經歷，另外也帶給我們一些職涯建議。李老師建議我們可以多多參加社團活動，如果有機會與時間的話也鼓勵我們去企業實習，因為外商比起學歷更在意的是你的大學生活是不是很多元化。李老師也分享了自己在微軟工作的經驗，我認為其中最重要的一句是「不要怕做錯」，老師說剛出社會的我們很容易做錯很多事情，但正是因為剛畢業，所以大家會比較體諒，所以不要因為害怕做錯事情而畏縮。  
098	W07	183	74	  今天講師介紹了SQL、NoSQL的差別與個別介紹，首先介紹是目前學過的關聯式資料庫，透過三階正規化做資料分類、處理，並且透過拉關聯幫助後續找尋需要的資料，製成資料表關聯圖。NoSQL與以往所學的資料庫不同，為非關聯式資料庫，可以透過這堂課實作NoSQL真的是難得的機會，但對於還未對NoSQL有基本的理解，而直接作實作會有點難理解，且投影幕過遠看不清楚操作內容，又遇到帳號有問題，所以無法即時跟上步驟，後面就落掉了有點可惜。如要為確保資料的一致性將會選擇使用SQL，如不在乎過程只在意結果將可以選擇使用NoSQL。  
099	W07	169	67	  這次的講師主要跟我講了有關Azure Data Services – SQL & NoSQL的知識，非常的新穎，感覺很有條理。  目前的客戶有著很多需求和想法。在Azure中都可以一一的被解決。無須硬體成本，有彈性的效能，同時又在全球有很多的靈活佈署，實則是給客戶解決了許多的問題。同時在其中的SQL和NoSQL部分中，各有自己的特點。 其中SQL中的大綱無彈性，強調一致性 (SQL Database)而NoSQL大綱具彈性，強調效能 (Azure Cosmos DB)。所以各自有著不同的框架結構也是非常的強大。  
100	W07	129	61	  講師這次講解了Azure Data Service中的SQL和NoSQL。講師首先通過講解自己的工作經歷以及客戶所遇到的問題，如硬體成本高、效能低落、如何在全球快速部署和維護不易來引出Azure 雲端資料庫 (PaaS) 好處。接著講解了SQL和NoSQL以及他們的優缺點，SQL大綱無彈性，強調一致性 (SQL Database)NoSQL大綱具彈性，強調效能 (Azure Cosmos DB)。接著比較了企業自建資料庫和雲端資料庫效能、安全性、可用性以及業務需求來突出雲端資料庫的優勢。最後講解了API，因應網路平臺的多樣性的發展，許多大型網站平臺逐漸開放物件功能和資訊與其它網站進行串接、共用，不僅能接觸整合多元資訊，更可以提升跨平臺使用者的友善性，達到平臺多元發展的市占性。  
101	W07	232	93	  今天講者為我們講解的主題是Azure的資料庫技術，用SQL跟NoSQL的方法如何解構與儲存這些的資料。講者用他自己的經驗講了一下他如何進入微軟公司，也鼓勵我們心態跟態度上一定要好，給公司的同事們有一個好的第一印象，有好的第一印象有助大家可以在一個公司裡站穩的住，所以我們在一間公司裡面，要有一個好的工作態度。  接下來他為我們講解了雲端對於客戶的好處，對於企業來講是一個很好的工具讓他們把大量資料放上雲端上，也減免了很多紙張上的浪費。所以現在基本上都是在一個雲端的時代，需要好好的使用這些有助於效率的工具。  
102	W07	251	99	  azure 雲端資料庫有很多好處,無須硬體成本,彈性效能擴展,全球靈活,智能化維運,都非常方便.我之前都沒有了解到有這個應用,真的很開心可以在這堂課裡學習到,我非常開心可以修得到這堂課,講師非常專業,學習到很多東西.  
103	W07	165	65	  今日講者做了一個自我介紹，講說了他的求學期間的經歷以及畢業後的方向以及他在工作期間需重點關注的問題的部分，在之後出了社會會面臨各式各樣的問題這裏令我印象深刻。講者在azure 的部分上，講述了關於雲端資料的安全性，在之前我去了第23屆資訊應用服務創新競賽中參觀看到了一組關於資訊安全的隊伍講述關於航空公司客戶資料存儲在雲端上被盜為啟發的專題的事情這令我對雲端的不安全性有新的認識，SQL與雲端關聯式資料PaaS之間的關聯，要如何開啟在azure增建SQL程式碼的方法，令我學到更多。  
104	W07	183	75	  今天微軟講師講的我覺得他一直在提只會資料庫的話在職埸是不夠的，還是要會打一些程式才能在職埸打拼。那這節是在說作為數據專業人士，要讓我們知道某些情形，特別是涉及實時分析，站點個性化，物聯網和移動應用程序的情形，與關係數據庫相比，NoSQL存儲和計算解決方案可以更好地解決。Microsoft Azure有多個NoSQL非關係數據存儲選項可供選擇。通常將NoSQL數據庫構建為可在許多服務器之間分佈和分區。它們的構建旨在橫向擴展以實現高可用性，並且足夠靈活以處理半結構化和非結構化數據。如果您的數據模型在不斷發展並且想要快速發展，那麼這就是這些數據庫的目的。  
105	W07	191	78	  這週Justin講師主要講授Azure Service中SQL & NoSQL service。平時在校我們大多接觸SQL Service。上完這堂課程使我認識到No SQL ，它是一種不同於關聯型資料庫管理系統設計方式，如講師比喻關聯型資料庫如同一個制式書櫃，分每層及每格，能放的書大小是有規定的，利用 table 表示，也就是資料的樣態如同書本般，是有一定大小規範的，那就很容易處理，但是資料如果是包裹，如同檔案，有大有小，如何放置在書架上，也就是說關聯型資料庫是不合適處理。  傳統應用資料都是結構化，在應用上就很便利，但是在大數據應用中，資料格式多元， 有大有小，所以結構化的資料庫在擴展及應用上就受限，典型的現代關連式資料庫在資料密集型應用上都有效能欠佳的問題，包括索引大量的文件，對於高流量的網站無法滿足其效 能，對於串流媒體格式無法提供存取。所以在非結構化資料的領域中，代而起之的是 NoSQL。  深入探討 NoSQL後，這種技術允許使用者以不同於關聯式資料庫概念，用行列存儲的格式來抓取信息提供服務。而關聯式資料庫因為具有支援非常複雜的資料表結構，每次的 Transaction 所花費的計算是相當大的，如果每秒都有上千次，甚至上萬次對關聯式資料庫進行讀寫，就會讓整個資料庫負荷相當沈重。  因為一般社交網站每天可以產生數以千萬計的用戶動態訊息，每月達到以億為單位，對關聯式資料庫來說，查詢一個以億為單位的資料表，是極沒有效率且無法忍受的，而且關聯式資料庫是相當難以進行橫向擴充的，往往必須進行停機來進行資料庫的擴充及轉移，無法動態進行資料庫新增節點和負載平衡的工作。上完這堂課後我將會多多嘗試 Azure NoSQL Service。  
106	W07	214	86	  
107	W07	170	68	"  今天講師所說明的課程是我稍微熟悉的，講師給的概念對我來說非常受用，的確資料就是一切，現在社會走的趨勢就是BIG DATA、Cloud 、AI，企業在乎的是安全，好用，人性化，數據化，有資料背景支撐的數據才具意義。  介紹Azure 雲端資料庫(PaaS)的好處  介紹關聯式資料庫概念後，實作在Azure Database Service 上，使用SQL語法查詢。  介紹非關聯式資料庫(NoSQL)，給特定的需求做的，並非放在所有系統都適合，使用""Collection"" , ""Document"" 的概念，每個Collection內放入Document，每個Document內以""KEY- VALUE""的方式儲存資料，對於不斷變更欄位的資料需求的企業來說，會比較方便而直觀。  第二堂課實際使用Azure的雲端資料庫功能，下指令在資料庫內，我成功了，很開心。  "
108	W07	188	77	  Azure 雲端資料庫 (PaaS) 好處有  無須硬體成本 ,彈性效能擴展 ,全球靈活部屬, 智能化維運  關聯式資料庫（DBMS）  關聯式資料庫是建立在關聯模型基礎上的資料庫，藉助於集合代數等數學概念和方法來處理資料庫中的資料。現實世界中 的各種實體以及實體之間的各種聯絡均用關聯模型來表示  ACID， 必須具備的四個特性：不可分割性（Atomicity）、一致性（Consistency）、隔離性（Isolation，又稱獨 立性）、持久性（Durability）。  非關聯式資料庫 (NoSQL)  NoSQL 指資料存放區不會使用 SQL 進行查詢，而是會改用其他程式設計語言和建構 來查詢資料  使用nosql時機是處理大型或變更數據集  sql則是架構必須維護並保持同步在應用程序和數據庫之間  
109	W07	126	61	  講師的社會經歷分享讓我受益良多。雲端是甚麼?雲端是藉由實體的data center儲存資料，並且在analiable zone 裡有2~3個data center，而在世界各地有許多region裡面有好幾個AZ而資料就會在AZ裡互相傳輸，客戶就是在租用DATA CENTER。雲端的優點:免機房、國際化、彈性高、管理容易、縮短時間與空間。而雲端使用的資料庫為No SQL。實作建立的雲端資料庫也講解得很清楚，從勾選巷道每個選項的細節都很詳細，也講解了雲端的實際案例，到最後是實際元端資料庫演練，今天真的是受益良多。  
110	W07	178	71	  本周講座課程講師說明Azure Data Platform、Azure SQL Database Service及Azure NoSQL Database Service，而討論前先說明客戶現今遇到的四大挑戰，分別為更多硬體成本、效能低落、快速全球部屬、維運不易，再來說明Azure 雲端資料庫的好處，例如:無須硬體成本、彈性效能擴展、全球靈活部屬、智能化維運，解決了先前講到的客戶四大挑戰。課程中也介紹了關聯式資料庫及非關聯式資料庫，分別為建立在關聯模型基礎上的資料庫，藉助於集合代數等數學概念和方法來處理資料庫中的資料，及使用針對所要儲存之資料類型的特定需求所最佳化的儲存體模型。  
